url	first_seen	portal	title	company	status	location
https://jobs.ashbyhq.com/real/b0480e17-98f6-49e5-9fa2-565d30a11347	2026-07-14	Playwright/WebSearch	Senior Backend Engineer - Java	Real	added	USA Remote
https://jobs.lever.co/luxurypresence/619322cf-c699-4060-a23c-b4e0b90debcd	2026-07-14	Playwright/WebSearch	Staff Data Engineer - US (Remote)	Luxury Presence	added	United States Remote
https://job-boards.greenhouse.io/postman/jobs/7419694003	2026-07-14	Playwright/WebSearch	Senior Backend Engineer, Cloud Platform	Postman	added	San Francisco, CA / United States
https://jobs.ashbyhq.com/bestow/f9be0c3e-1dc6-4bb9-ad55-28e213030b1d	2026-07-14	Playwright/WebSearch	Staff Backend Engineer	Bestow	added	Remote US
https://jobs.lever.co/foodsmart/24ff9250-2abf-46a4-aae5-59bcc0667645	2026-07-14	Playwright/WebSearch	Senior Data Engineer	Foodsmart	added	Remote US
https://job-boards.greenhouse.io/hightouch/jobs/5542602004	2026-07-15	greenhouse-api	Software Engineer, AI Agents	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/5983891004	2026-07-15	greenhouse-api	Software Engineer, Control Plane	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/5983811004	2026-07-15	greenhouse-api	Software Engineer, Customer Studio Backend	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/4782632004	2026-07-15	greenhouse-api	Software Engineer, Distributed Systems	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/6004706004	2026-07-15	greenhouse-api	Software Engineer, Native Delivery	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/hightouch/jobs/5983863004	2026-07-15	greenhouse-api	Software Engineer, Streaming Systems	Hightouch	added	Remote (North America)
https://job-boards.greenhouse.io/planetscale/jobs/4107018009	2026-07-15	greenhouse-api	Software Engineer - Insights	PlanetScale	added	San Francisco Bay Area or Remote
https://job-boards.greenhouse.io/planetscale/jobs/4280570009	2026-07-15	greenhouse-api	Software Engineer - Neki Orchestration	PlanetScale	added	San Francisco Bay Area or Remote
https://job-boards.greenhouse.io/planetscale/jobs/4251150009	2026-07-15	greenhouse-api	Software Engineer - PlanetScale Postgres	PlanetScale	added	Remote
https://job-boards.greenhouse.io/planetscale/jobs/4009936009	2026-07-15	greenhouse-api	Software Engineer - Sharded Postgres (Neki)	PlanetScale	added	San Francisco Bay Area or Remote
https://jobs.lever.co/foodsmart/fbb8ad82-4d32-4021-a078-04814833091f	2026-07-15	lever-api	Staff Data Engineer	Foodsmart	added	Remote (US)
https://jobs.lever.co/foodsmart/b1078aa2-d5ad-4799-9770-8d601912a066	2026-07-15	lever-api	Staff Software Engineer	Foodsmart	added	Remote (US)
https://jobs.lever.co/luxurypresence/a2f8bde1-72bc-40d0-9b18-bc6bcbb77902	2026-07-15	lever-api	Sr. Data Engineer - US (Remote)	Luxury Presence	added	United States
